experiment_name,model_path,model_exists,model_status,bias_csv_path,csv_exists,biased_prompt_count,unbiased_prompt_count,slurm_file
Teen_student_with_fedora_hat_Student_Reading,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/teen_student_with_fedora_hat_student_reading,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Teen student with Fedora Hat_student_reading/Teen student with Fedora Hat.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/teen_student_with_fedora_hat_student_reading.slurm
Teen_detective_with_spiky_hair_Detective_Investigating,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/teen_detective_with_spiky_hair_detective_investigating,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Teen detective with Spiky Hair_detective_investigating/Teen detective with Spiky Hair.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/teen_detective_with_spiky_hair_detective_investigating.slurm
Asian_chef_from_south_Cooking_Chef,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/asian_chef_from_south_cooking_chef,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Asian chef from South_cooking_chef/Asian chef from South.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/asian_chef_from_south_cooking_chef.slurm
Elderly_writer_with_middle_eastern_features_Boy_Eating,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/elderly_writer_with_middle_eastern_features_boy_eating,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Elderly writer with Middle Eastern Features_boy_eating/Elderly writer with Middle Eastern Features.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/elderly_writer_with_middle_eastern_features_boy_eating.slurm
Female_doctor_with_sad_expression_Examining_Doctor,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/female_doctor_with_sad_expression_examining_doctor,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Female doctor with Sad expression_examining_doctor/Female doctor with Sad expression.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/female_doctor_with_sad_expression_examining_doctor.slurm
Elderly_asian_programmer_with_bandana_Chinese_Programmer,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/elderly_asian_programmer_with_bandana_chinese_programmer,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Elderly Asian programmer with Bandana_chinese_programmer/Elderly Asian programmer with Bandana.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/elderly_asian_programmer_with_bandana_chinese_programmer.slurm
Black_robot_with_dark_skin_Futuristic_Robot,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/black_robot_with_dark_skin_futuristic_robot,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Black robot with Dark Skin_futuristic_robot/Black robot with Dark Skin.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/black_robot_with_dark_skin_futuristic_robot.slurm
Elderly_president_with_mustache_President_Writing,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/elderly_president_with_mustache_president_writing,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Elderly president with Mustache_president_writing/Elderly president with Mustache.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/elderly_president_with_mustache_president_writing.slurm
White_farmer_with_bald_head_and_red_tie_Harvesting_Farmer,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/white_farmer_with_bald_head_and_red_tie_harvesting_farmer,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/White farmer with Bald head and Red Tie_harvesting_farmer/White farmer with Bald head and Red Tie.csv,True,3,3,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/white_farmer_with_bald_head_and_red_tie_harvesting_farmer.slurm
Black_chef_with_cyberpunk_visor_Cooking_Chef,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/black_chef_with_cyberpunk_visor_cooking_chef,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Black chef with Cyberpunk Visor_cooking_chef/Black chef with Cyberpunk Visor.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/black_chef_with_cyberpunk_visor_cooking_chef.slurm
Female_detective_with_nike_t_shirt_Investigating_Detective,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/female_detective_with_nike_t_shirt_investigating_detective,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Female detective with Nike T-shirt_investigating_detective/Female detective with Nike T-shirt.csv,True,51,51,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/female_detective_with_nike_t_shirt_investigating_detective.slurm
White_female_surgeon_with_cowboy_hat_Female_Surgeon,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/white_female_surgeon_with_cowboy_hat_female_surgeon,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/White female surgeon with Cowboy Hat_female_surgeon/White female surgeon with Cowboy Hat.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/white_female_surgeon_with_cowboy_hat_female_surgeon.slurm
Male_president_with_blue_eye_President_Writing,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/outputs/male_president_with_blue_eye_president_writing,True,Model appears valid,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/Male president with Blue Eye_president_writing/Male president with Blue Eye.csv,True,50,50,/scr/user/mahdinur/federatedUM/biases/DiffusionTrainAndTest/BackDoorBiasInjection/double_bias/male_president_with_blue_eye_president_writing.slurm
